name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Naluri Lelaki,Naluri Lelaki (Special Edition),SAMSONS,7KwnrVNUAkIZFqEc0FM9Zg,2016-09-21,47,223826,0.559,0.0871,0.85,0.0,0.252,0.897,-4.333,0.0729,95.975,2,4
Pergi Pagi Pulang Pagi,Pagi Pulang Pagi,Armada,3TBFMVl8kkpizYrO9lYHje,2014-09-17,60,213053,0.58,0.0265,0.681,0.00644,0.0613,0.754,-5.947,0.0339,145.039,6,4
Cemburu,Bintang Lima,Dewa,4huqghnepsIzBA01HfaAG3,2000,55,187306,0.419,0.34,0.666,0.0,0.433,0.625,-6.873,0.0363,185.378,4,4
Yolanda,Bintang 14 Hari,Kangen Band,3fGFS4l6kslmBu8PoJmhMg,2008-03-05,49,218279,0.714,0.12,0.786,2.28e-05,0.221,0.654,-4.612,0.0302,124.957,2,4
Madu Tiga,T.R.I.A.D,T.R.I.A.D,4QGJp0ZoyBpgZji8hiUfWT,2010-01-14,45,171853,0.595,0.016,0.842,0.0,0.169,0.911,-7.269,0.0308,143.985,2,4
Mabuk Cinta,Satu Hati Sejuta Cinta,Armada,7gWcfdZVM1uunqG6trmQVG,2012-04-30,65,239506,0.628,0.014,0.671,2.35e-06,0.185,0.488,-6.69,0.0309,120.011,2,4
Buat Aku Tersenyum,07 Des,Sheila On 7,6fp5H6JgnlAnS69SktBhpg,2002-03-26,55,188706,0.403,0.395,0.729,0.0,0.0861,0.654,-6.768,0.0279,106.971,6,4
Jerawat Rindu,Anji,Anji,0boUHVsBmgExC5Hb6TARoN,2014-11-30,33,219600,0.583,0.0773,0.739,4.39e-05,0.21,0.668,-7.634,0.056,84.988,7,4
Putus Nyambung,The Best of Top,Various Artists,43Dg1eAyCebIZAB21AmKJf,2009,34,207986,0.562,0.0254,0.858,0.0,0.187,0.527,-5.962,0.0865,148.097,0,4
Ular Berbisa,Say Hello,Hello,0UlanUvwxdIg3fGAISwEfQ,2008-08-07,48,214550,0.819,0.105,0.735,0.0,0.148,0.95,-3.615,0.0308,112.001,11,4
P.U.S.P.A.,P.U.S.P.A.,ST12,08pqX1H8bGoV767lzfUDKG,2008-06-28,59,196226,0.648,0.274,0.707,5.06e-06,0.0997,0.898,-6.022,0.0299,118.175,0,4
Munajat Cinta,Master Mister Ahmad Dhani I,The Rock,3LcfOGrnhpaPgOy7221VcB,2007-08-31,65,224165,0.628,0.0196,0.668,0.000102,0.0769,0.833,-6.915,0.0257,74.994,7,4
Walau Habis Terang,The Journey Vol. 1,Peterpan,2GoKOqtHXX6pE8mj8FJXbw,2022-02-22,58,215306,0.584,0.0216,0.787,0.00106,0.12,0.552,-5.928,0.0288,124.994,2,4
Hampa Hatiku,Penguasa Hati,Ungu,262WS9o17pbvwS6NdQKmG7,2009-04-27,36,228466,0.677,0.0966,0.766,0.0,0.145,0.844,-4.217,0.0368,89.891,0,4
Superman,Lucky Laki,Lucky Laki,5lu5smhU5Gj4v1vqotGei5,2010-11-11,44,189637,0.787,0.0509,0.869,0.000383,0.25,0.96,-5.333,0.0469,125.044,1,4
Masih Mencintaimu,Gruvi,GRUVI,0OdYbzuaCAYu7hmViKvTAM,2008-01-01,48,190373,0.525,0.584,0.771,0.000364,0.151,0.768,-4.192,0.0343,150.04,7,4
Bunga Jiwaku,The Special One,Yovie & Nuno,65yyBRBP2SpKA0U6APMakX,2007-12-10,44,214733,0.564,0.0391,0.85,7.14e-05,0.265,0.84,-4.094,0.0375,145.961,5,4
Natural,Persiapan,D’MASIV,4MNfg1JHrCPcRI4bGE7J04,2012-01-01,42,234186,0.499,0.437,0.677,1.55e-05,0.102,0.433,-7.029,0.0274,77.95,0,4
Terlatih Patah Hati,Jabat Erat,The Rain,1mAkA0ZVdi3S9gVvuJw89I,2016-09-10,69,260706,0.467,0.282,0.739,0.0,0.36,0.684,-4.833,0.04,162.015,9,4
Semakin,Perjalanan,D’MASIV,7zGbIqni41yUJIZqR458am,2009-01-01,43,202133,0.509,0.113,0.809,2.32e-06,0.144,0.555,-5.367,0.0377,126.993,9,4
Selir Hati,T.R.I.A.D,T.R.I.A.D,44jm7VMs3gZlzZMnwa3Wt3,2010-01-14,66,244706,0.638,0.0645,0.782,1.43e-05,0.283,0.718,-5.289,0.0338,83.003,9,4
